"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","age_interval"
0.165993838038168,1.60630883756707,0.026,0.05,1,"OR52S1P","ExcitatoryNeuron","60-70"
0.166818457904093,-0.268206544397767,0.075,0.108,1,"CROCCP5","ExcitatoryNeuron","60-70"
0.168806591862614,-1.40153654026446,0.026,0.05,1,"HNRNPUP1","ExcitatoryNeuron","60-70"
0.169487192480161,-0.999854962027247,0.031,0.055,1,"SNORD99","ExcitatoryNeuron","60-70"
0.171091902532228,0.803948825351162,0.132,0.096,1,"MTND4P6","ExcitatoryNeuron","60-70"
0.173948582122666,-1.42696104783808,0.04,0.067,1,"SLC19A1","ExcitatoryNeuron","60-70"
0.175315129810536,0.336746101830602,0.176,0.134,1,"MIR658","ExcitatoryNeuron","60-70"
0.177087494338646,-0.105041292322749,0.053,0.082,1,"MYL6BP1","ExcitatoryNeuron","60-70"
0.177201145835628,-1.25637611240231,0.031,0.055,1,"MRPL22P1","ExcitatoryNeuron","60-70"
0.181647812111949,-0.805422213834753,0.053,0.082,1,"LINC01252","ExcitatoryNeuron","60-70"
0.181909394633416,-0.163893796685084,0.084,0.055,1,"ZNF277-AS1","ExcitatoryNeuron","60-70"
0.18222754452864,0.887424432948054,0.115,0.082,1,"RPL18AP7","ExcitatoryNeuron","60-70"
0.182646501045818,-0.685809663784974,0.198,0.248,1,"PNRC1-DT","ExcitatoryNeuron","60-70"
0.182907331618024,-0.873377776616019,0.026,0.05,1,"RBISP5","ExcitatoryNeuron","60-70"
0.184430138348916,0.816326563931134,0.11,0.079,1,"TUBB8P8","ExcitatoryNeuron","60-70"
0.189630376452809,-3.28995629204153,0.035,0.058,1,"HOXB1","ExcitatoryNeuron","60-70"
0.191166146563168,2.05669982757175,0.106,0.076,1,"POLQ","ExcitatoryNeuron","60-70"
0.192811530706669,-0.542890530408465,0.154,0.114,1,"PRAC1","ExcitatoryNeuron","60-70"
0.195026060627894,0.703414314502295,0.057,0.035,1,"FRA1J","ExcitatoryNeuron","60-70"
0.196544046566935,-0.433853543059247,0.057,0.035,1,"FTH1P15","ExcitatoryNeuron","60-70"
0.19669878000482,1.35971800506249,0.075,0.05,1,"ATP6AP2","ExcitatoryNeuron","60-70"
0.19782980557097,0.103750798897272,0.097,0.067,1,"MANSC4","ExcitatoryNeuron","60-70"
0.198747944140353,0.976514254961515,0.225,0.184,1,"MT-ND4","ExcitatoryNeuron","60-70"
0.198920679875947,-0.600064131855205,0.093,0.061,1,"LSM3P3","ExcitatoryNeuron","60-70"
0.200627533570177,-2.37592341421921,0.035,0.058,1,"LINC00563","ExcitatoryNeuron","60-70"
0.203013766125438,-0.896755612477677,0.194,0.146,1,"OR7E25P","ExcitatoryNeuron","60-70"
0.204516610620312,3.17096875872385,0.066,0.044,1,"RNU6-958P","ExcitatoryNeuron","60-70"
0.206301257088428,-1.43437599070911,0.044,0.07,1,"PFDN2","ExcitatoryNeuron","60-70"
0.210063726307037,-1.80254773479167,0.031,0.052,1,"RN7SKP232","ExcitatoryNeuron","60-70"
0.210361406699782,0.459679459045122,0.132,0.099,1,"PIWIL4-AS1","ExcitatoryNeuron","60-70"
0.210562522095367,-1.89388947116222,0.035,0.058,1,"RNU4-47P","ExcitatoryNeuron","60-70"
0.210900989698748,0.844427320014065,0.053,0.032,1,"AQP1","ExcitatoryNeuron","60-70"
0.211457424705224,2.01652470914645,0.053,0.032,1,"LMO7","ExcitatoryNeuron","60-70"
0.214896969237157,-1.02560920131434,0.031,0.052,1,"F2","ExcitatoryNeuron","60-70"
0.215382205645657,1.10086871070326,0.053,0.032,1,"MIR9-3","ExcitatoryNeuron","60-70"
0.215947145185695,1.2171675193678,0.053,0.032,1,"TTTY19","ExcitatoryNeuron","60-70"
0.217568911217554,-0.797540185515418,0.07,0.099,1,"IGHVII-28-1","ExcitatoryNeuron","60-70"
0.218163348332014,1.02333244985758,0.057,0.035,1,"ACACB","ExcitatoryNeuron","60-70"
0.223282084175931,0.114185926429664,0.088,0.061,1,"DMBT1","ExcitatoryNeuron","60-70"
0.223532193004558,1.06293526761116,0.207,0.172,1,"PRAMEF20","ExcitatoryNeuron","60-70"
0.223968566577929,1.52849114160053,0.053,0.032,1,"RAB28P4","ExcitatoryNeuron","60-70"
0.225923291415326,-2.45349300688869,0.057,0.035,1,"PRAMEF4","ExcitatoryNeuron","60-70"
0.226817260822195,1.09889578682313,0.11,0.082,1,"TRPV1","ExcitatoryNeuron","60-70"
0.235167090511775,0.928337473219221,0.128,0.096,1,"ADRA1A","ExcitatoryNeuron","60-70"
0.237355021159952,-1.97064665881932,0.084,0.111,1,"LINC01808","ExcitatoryNeuron","60-70"
0.240215063752133,0.588108766387451,0.079,0.111,1,"RXYLT1-AS1","ExcitatoryNeuron","60-70"
0.240610880720546,0.50607673642083,0.066,0.044,1,"STK32A-AS1","ExcitatoryNeuron","60-70"
0.245164759388506,0.264129219359261,0.088,0.061,1,"CLDN14","ExcitatoryNeuron","60-70"
0.24863140455603,-1.45966036584955,0.084,0.111,1,"TRAF3IP2","ExcitatoryNeuron","60-70"
0.249391744320039,0.954982064021296,0.093,0.067,1,"LINC01254","ExcitatoryNeuron","60-70"
